Unique ID	Name (ja) — Japanese display names for Ad Product Taxonomy 2.0; missing ids fall back to English
1000	広告安全性リスク
1001	アダルト商品・サービス
1002	アルコール
1008	文化・芸術
1010	ビジネス・産業
1049	大麻
1058	衣料品・アクセサリー
1075	コレクション・アンティーク
1082	コンピューターソフトウェア
1088	美容サービス
1097	家電・電子機器
1123	日用消費財
1259	マッチング・恋愛サービス
1262	論争のある社会問題
1263	耐久消費財
1291	ダイエット・減量
1295	教育・キャリア
1315	イベント・公演
1328	家族・子育て
1335	金融・保険
1355	飲食サービス
1361	ギャンブル
1368	グリーン・エコ
1371	ギフト・季節商品
1378	健康・医療サービス
1396	住まい関連サービス
1416	法律サービス
1419	メディア
1443	金属・貴金属
1448	暗号資産・非法定通貨
1452	非営利団体
1460	ペット関連
1467	個人向け通信サービス
1473	医薬品
1474	政治
1482	不動産
1487	宗教・スピリチュアル
1494	小売
1510	フィットネス
1519	性の健康
1524	スポーツ用品
1529	旅行・観光
1544	たばこ
1551	自動車・乗り物
1576	武器・弾薬
