code	name
AE	UAE
AE-AJ	アジマン
AT	オーストリア共和国
AT-1	ブルゲンラント州
AT-5	ザルツブルク州
AT-8	フォアアールベルク州
AU	オーストラリア
AU	豪州
AU-ACT	オーストラリア首都特別地域
AU-NSW	ニューサウスウェールズ州
AU-QLD	クイーンズランド州
AU-SA	南オーストラリア州
AU-TAS	タスマニア州
AU-VIC	ビクトリア州
AU-WA	西オーストラリア州
CA-AB	アルバータ州
CA-BC	ブリティッシュコロンビア州
CA-MB	マニトバ州
CA-NB	ニューブランズウィック州
CA-NL	ニューファンドランド・ラブラドール州
CA-NS	ノバスコシア州
CA-NT	ノースウェスト準州
CA-NU	ヌナブト準州
CA-ON	オンタリオ州
CA-PE	プリンスエドワードアイランド州
CA-QC	ケベック州
CA-SK	サスカチュワン州
CA-YT	ユーコン準州
CH	スイス連邦
CH-AG	アールガウ州
CH-AI	アッペンツェル・インナーローデン準州
CH-AR	アッペンツェル・アウサーローデン準州
CH-BL	バーゼル＝ラント準州
CH-FR	フリブール州
CH-GL	グラールス州
CH-JU	ジュラ州
CH-NE	ヌーシャテル州
CH-NW	ニトヴァルデン準州
CH-OW	オプヴァルデン準州
CH-SH	シャフハウゼン州
CH-SO	ゾロトゥルン州
CH-SZ	シュヴィーツ州
CH-TG	トゥールガウ州
CH-TI	ティチーノ州
CH-UR	ウーリ州
CH-VD	ヴォー州
CH-VS	ヴァレー州
CH-ZG	ツーク州
CH-ZH	チューリヒ州
CN	中華人民共和国
DE	ドイツ連邦共和国
DE-BB	ブランデンブルク州
DE-BW	バーデン＝ヴュルテンベルク州
DE-HB	ブレーメン州
DE-MV	メクレンブルク＝フォアポンメルン州
DE-RP	ラインラント＝プファルツ州
DE-SH	シュレースヴィヒ＝ホルシュタイン州
DE-SL	ザールラント州
ES-EX	エストゥレマドゥーラ
ES-EX	エストレマドゥーラ州
ES-M	コムニダ・デ・マドリッド
ES-ML	メリリャ
ES-RI	ラ・リオハ州
ES-S	カンタブリア州
ES-V	ヴァレンシア
ES-V	コムニダ・バレンシアーナ
FR	フランス共和国
FR-CVL	サントル＝ヴァル・ド・ロワール地域圏
FR-GES	グラン・テスト地域圏
FR-HDF	オー＝ド＝フランス地域圏
FR-OCC	オクシタニ
FR-PAC	プロヴァンス＝アルプ＝コート・ダジュール地域圏
FR-PDL	ペイ・ド・ラ・ロワール地域圏
GB	イギリス
GB	UK
GB-ENG	イングランド
GB-NIR	北アイルランド
GB-SCT	スコットランド
GN10254803	めんだひがし
GN10254803	メンダヒガシ
GN10255720	きのえにし
GN10255720	キノエニシ
GN10267168	須恵町
GN10630004	Shōnai-machi
GN10630007	対馬市
GN10630441	Ōzora-chō
GN10913431	ばらき
GN10968247	荒川区
GN10979195	松伏町
GN10979195	Matsubushi-machi
GN10987897	足立区
GN11001656	Motobu-chō
GN11028127	どうじょう
GN11028127	ドウジョウ
GN11029762	ぶぞう
GN11029762	ブゾウ
GN11059676	すぎた
GN11059676	スギタ
GN11079431	もとな
GN11079431	モトナ
GN11081664	ミナトミライ
GN11082924	しんこやす
GN11082924	シンコヤス
GN11133293	ほんごう
GN11133293	ホンゴウ
GN11133426	うしごめ
GN11133426	ウシゴメ
GN11134304	かわすがや
GN11134304	カワスガヤ
GN11140308	ながどみ
GN11140308	ナガドミ
GN11147658	しまだ
GN11147658	シマダ
GN11149616	なかまつ
GN11149616	ナカマツ
GN11151271	かわはら
GN11151271	カワハラ
GN11154442	田上町
GN11172649	おきの
GN11172649	オキノ
GN11193762	わかす
GN11193762	ワカス
GN11209896	ことう
GN11209896	コトウ
GN11209896	江東区
GN11240939	うえじま
GN11240939	ウエジマ
GN11241005	さまた
GN11241005	サマタ
GN11241735	やまだ
GN11241735	ヤマダ
GN11274040	あらお
GN11274040	アラオ
GN11335421	ながおだ
GN11335421	ナガオダ
GN11350714	Miyota-machi
GN11397286	Nagawa-machi
GN11468270	伊賀市
GN11468429	桑名市
GN11468431	松坂市
GN11524139	北杜市
GN11611221	氷見市
GN11612476	Shi-betsu
GN11790342	世田谷区
GN11790353	新宿区
GN11790369	台東区
GN11790374	目黒区
GN11808021	渋谷区
GN1253573	ヴァドーダラー
GN1254388	ティルッチラーッパッリ
GN1256237	シムラー
GN1260086	パトナー
GN1262260	ナーガッパッティナム
GN1264728	ルディヤーナー
GN1264733	ラクナウー
GN1268865	ジョードプル
GN1269300	ジャムシェードプル
GN1269655	イーターナガル
GN1270396	ハーウラー
GN1271476	グワーハーティー
GN1271715	ガンディーナガル
GN1271951	ファリーダーバード
GN1272543	ティンドゥッカル県
GN1275841	ボーパール
GN1278994	イラーハーバード
GN1279259	アーグラー
GN1280737	ラサ市
GN1280849	カシュガル市
GN13118912	嵐山町
GN13192008	秋津町
GN1529102	ウルムチ市
GN1529376	コルラ市
GN1529660	アクス市
GN1566083	ホーチミン
GN1566083	サイゴン
GN1586185	カオバン市
GN1606590	サムットプラカーン県
GN1668341	台北市
GN1668355	台南市
GN1668399	台中市
GN1673820	たかおし
GN1784285	中衛市
GN1784990	湛江市
GN1785623	崑山市
GN1785777	楡林市
GN1787227	揚州市
GN1790437	珠海市
GN1791121	常徳市
GN1791779	万寧市
GN1793346	唐山市
GN1795270	石家荘市
GN1795940	汕頭市
GN1798449	ホ田市
GN1798654	萍郷市
GN1802276	竜岩市
GN1804430	蘭州市
GN1805753	済南市
GN1806488	瓊海市
GN1806776	恵州市
GN1809858	広州市
GN1809858	Kōshū
GN1809858	Hiroshū
GN1810638	カン州市
GN1811103	Hotokeyama
GN1815395	潮州市
GN1816971	保定市
GN1817240	白銀市
GN1835848	ソウル
GN1838524	釜山
GN1838524	釜山市
GN1841811	光州
GN1841811	光州市
GN1841811	光州広域市
GN1846918	安山
GN1847947	新宮市
GN1847963	厚木市
GN1847963	厚木町
GN1847966	明石市
GN1847968	ずし
GN1847968	ズシ
GN1847983	善通寺町
GN1848004	座間市
GN1848015	湯沢町
GN1848055	下呂市
GN1848087	行橋市
GN1848096	結城市
GN1848131	湯浅町
GN1848277	米子市
GN1848281	与那原町
GN1848281	Yonabaru-chō
GN1848313	横須賀市
GN1848354	横浜市
GN1848354	よこはまし
GN1848354	よこはま
GN1848354	ヨコハマ
GN1848354	ヨコハマシ
GN1848373	四日市市
GN1848382	Yōkaichi-shi
GN1848439	八幡市
GN1848445	八代市
GN1848445	ほんまち
GN1848445	ホンマチ
GN1848518	Yaotsu-chō
GN1848522	八尾市
GN1848573	柳川市
GN1848667	山北町
GN1848689	山口市
GN1848689	やまぐちし
GN1848689	やまぐち
GN1848689	ヤマグチ
GN1848689	ヤマグチシ
GN1848705	山鹿市
GN1848705	やまが
GN1848705	ヤマガ
GN1848764	矢掛町
GN1848774	焼津市
GN1848776	矢板市
GN1848852	養父市
GN1848932	和木町
GN1848935	和気町
GN1848976	輪島崎町
GN1848976	輪島市
GN1848988	和泊町
GN1849053	宇都宮市
GN1849053	うつのみやし
GN1849053	うつのみや
GN1849053	ウツノミヤ
GN1849053	ウツノミヤシ
GN1849073	Utazu-chō
GN1849094	臼杵市
GN1849154	うしぶかまち
GN1849154	ウシブカマチ
GN1849154	牛深市
GN1849154	Ushibuka-shi
GN1849237	魚津市
GN1849299	Umi-machi
GN1849372	宇治市
GN1849407	上野原市
GN1849424	うえきまちもうの
GN1849424	ウエキマチモウノ
GN1849429	上田市
GN1849442	鵜殿村
GN1849442	Udono-mura
GN1849498	宇部市
GN1849519	津山市
GN1849563	鶴岡市
GN1849592	敦賀市
GN1849621	Tsuno-chō
GN1849661	津久見浦
GN1849675	月夜野町
GN1849740	津川町
GN1849740	Tsugawa-machi
GN1849788	燕市
GN1849796	つし
GN1849796	津
GN1849796	つ
GN1849796	ツ
GN1849796	ツシ
GN1849814	豊田市
GN1849831	豊岡市
GN1849845	豊川市
GN1849846	豊橋
GN1849876	Toyama-shi
